UID        PID  PPID  C STIME TTY          TIME CMD
root       122     2  0 Jun06 ?        00:00:00 [kintegrityd]
root       123     2  0 Jun06 ?        00:00:00 [kblockd]
root       126     2  0 Jun06 ?        00:00:00 [edac-poller]
root       127     2  0 Jun06 ?        00:00:00 [devfreq_wq]
root       128     2  0 Jun06 ?        00:00:00 [watchdogd]
root       130     2  0 Jun06 ?        00:26:56 [kswapd0]
root       149     2  0 Jun06 ?        00:00:00 [kthrotld]
root       150     2  0 Jun06 ?        00:00:00 [ipv6_addrconf]
root       162     2  0 Jun06 ?        00:00:00 [kstrp]
root       240     2  0 Jun06 ?        00:00:00 [scsi_eh_0]
root       241     2  0 Jun06 ?        00:00:00 [scsi_tmf_0]
root       265     2  0 Jun06 ?        00:00:00 [ata_sff]
root       278     2  0 Jun06 ?        00:00:00 [scsi_eh_1]
root       279     2  0 Jun06 ?        00:00:00 [scsi_tmf_1]
root       298     2  0 Jun06 ?        00:00:00 [scsi_eh_2]
root       299     2  0 Jun06 ?        00:00:00 [scsi_tmf_2]
root       300     2  0 Jun06 ?        00:00:00 [scsi_eh_3]
root       301     2  0 Jun06 ?        00:00:00 [scsi_tmf_3]
root       302     2  0 Jun06 ?        00:00:00 [scsi_eh_4]
root       303     2  0 Jun06 ?        00:00:00 [scsi_tmf_4]
root       304     2  0 Jun06 ?        00:00:00 [scsi_eh_5]
root       305     2  0 Jun06 ?        00:00:00 [scsi_tmf_5]
root       310     2  0 Jun06 ?        00:00:00 [scsi_eh_6]
root       311     2  0 Jun06 ?        00:00:00 [scsi_tmf_6]
root       312     2  0 Jun06 ?        00:00:00 [scsi_eh_7]
root       313     2  0 Jun06 ?        00:00:00 [scsi_tmf_7]
root       314     2  0 Jun06 ?        00:00:00 [scsi_eh_8]
root       315     2  0 Jun06 ?        00:00:00 [scsi_tmf_8]
root       316     2  0 Jun06 ?        00:00:00 [scsi_eh_9]
root       317     2  0 Jun06 ?        00:00:00 [scsi_tmf_9]
root       318     2  0 Jun06 ?        00:00:00 [scsi_eh_10]
root       319     2  0 Jun06 ?        00:00:00 [scsi_tmf_10]
root       320     2  0 Jun06 ?        00:00:00 [scsi_eh_11]
root       321     2  0 Jun06 ?        00:00:00 [scsi_tmf_11]
root       322     2  0 Jun06 ?        00:00:00 [scsi_eh_12]
root       323     2  0 Jun06 ?        00:00:00 [scsi_tmf_12]
root       331     2  0 Jun06 ?        00:00:08 [kworker/12:1H-kblockd]
root       332     2  0 Jun06 ?        00:00:08 [kworker/14:1H-kblockd]
root       338     2  0 Jun06 ?        00:00:10 [kworker/8:1H-kblockd]
root       339     2  0 Jun06 ?        00:00:08 [kworker/11:1H-kblockd]
root       340     2  0 Jun06 ?        00:00:00 [poll_mpt3sas0_s]
root       348     2  0 Jun06 ?        00:00:20 [kworker/9:1H-kblockd]
root       350     2  0 Jun06 ?        00:00:09 [kworker/3:1H-kblockd]
root       359     2  0 Jun06 ?        00:00:00 [kdmflush]
root       366     2  0 Jun06 ?        00:00:00 [kdmflush]
root       381     2  0 Jun06 ?        00:00:07 [kworker/7:1H-kblockd]
root       395     2  0 Jun06 ?        00:00:00 [kworker/u41:0]
root       397     2  0 Jun06 ?        00:00:00 [jbd2/dm-0-8]
root       398     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
root       399     2  0 Jun06 ?        00:00:10 [kworker/4:1H-kblockd]
root       404     2  0 Jun06 ?        00:00:09 [kworker/13:1H-kblockd]
root       409     2  0 Jun06 ?        00:00:08 [kworker/18:1H-kblockd]
root       412     2  0 Jun06 ?        00:00:09 [kworker/5:1H-kblockd]
root       415     2  0 Jun06 ?        00:00:09 [kworker/1:1H-kblockd]
root       421     2  0 Jun06 ?        00:00:09 [kworker/17:1H-kblockd]
root       433     2  0 Jun06 ?        00:00:08 [kworker/10:1H-kblockd]
root       435     2  0 Jun06 ?        00:00:08 [kworker/19:1H-kblockd]
root       436     2  0 Jun06 ?        00:00:09 [kworker/2:1H-kblockd]
root       452     2  0 Jun06 ?        00:00:09 [kworker/16:1H-kblockd]
root       457     2  0 Jun06 ?        00:00:08 [kworker/15:1H-kblockd]
root       458     2  0 Jun06 ?        00:00:09 [kworker/0:1H-kblockd]
root       539  1109  0 14:09 ?        00:00:00 sshd: julloa [priv]
julloa     601   539  0 14:09 ?        00:00:00 sshd: julloa@pts/18
julloa     602   601  0 14:09 pts/18   00:00:00 -bash
root       649     2  0 Jun06 ?        00:00:10 [kworker/6:1H-kblockd]
root       701     2  0 Jun06 ?        00:00:00 [kdmflush]
root       702     2  0 Jun06 ?        00:00:00 [kdmflush]
root       703     2  0 Jun06 ?        00:00:00 [kdmflush]
root       709     2  0 Jun06 ?        00:00:00 [ttm_swap]
root       814     2  0 Jun06 ?        00:00:00 [kaluad]
root       815     2  0 Jun06 ?        00:00:00 [kmpath_rdacd]
root       816     2  0 Jun06 ?        00:00:00 [kmpathd]
root       817     2  0 Jun06 ?        00:00:00 [kmpath_handlerd]
root       818     1  0 Jun06 ?        00:07:49 /sbin/multipathd -d -s
root       825     2  0 Jun06 ?        00:00:00 [kdmflush]
root       851     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
root       855     2  0 Jun06 ?        00:01:24 [jbd2/dm-2-8]
root       856     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
root       860     2  0 Jun06 ?        00:00:00 [jbd2/dm-4-8]
root       861     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
root       868     2  0 Jun06 ?        00:00:00 [kdmflush]
root       890     2  0 Jun06 ?        00:00:00 [kdmflush]
root       891     2  0 Jun06 ?        00:00:00 [kdmflush]
root       893     2  0 Jun06 ?        00:00:00 [kdmflush]
root       894     2  0 Jun06 ?        00:00:00 [kdmflush]
root       895     2  0 Jun06 ?        00:00:00 [kdmflush]
root       896     2  0 Jun06 ?        00:00:00 [kdmflush]
root       897     2  0 Jun06 ?        00:00:00 [kdmflush]
root       943  1109  0 13:31 ?        00:00:00 sshd: nmounmanivon [priv]
root      1064     1  0 Jun06 ?        00:00:29 /usr/sbin/smartd -n
root      1066     1  0 Jun06 ?        00:14:21 /usr/sbin/irqbalance --foreground
root      1070     1  0 Jun06 ?        00:02:40 php-fpm: master process (/etc/php/7.0/fpm/php-fpm.conf)
root      1071     1  0 Jun06 ?        00:00:12 /usr/lib/udisks2/udisksd
root      1072     1  0 Jun06 ?        00:05:31 /usr/sbin/rsyslogd -n -iNONE
avahi     1082     1  0 Jun06 ?        00:05:31 avahi-daemon: running [odin.local]
root      1085     1  0 Jun06 ?        00:02:48 /usr/sbin/inetd
root      1086     1  0 Jun06 ?        00:05:22 /lib/systemd/systemd-logind
message+  1087     1  0 Jun06 ?        00:20:15 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root      1098     1  0 Jun06 ?        00:24:42 /usr/sbin/atopacctd
www-data  1100  1070  0 Jun06 ?        00:00:00 php-fpm: pool www
